[2018-05-26 13:32:43] GREEDY||samples/karate.gml||fast_newman||50||[0.2636884041938012, 0.2592708427397124, 0.25502374543530637, 0.2509121274289704, 0.24692963946071972, 0.24307032183859914, 0.23954971656437637, 0.23617139836042733, 0.23286682152022428, 0.2296528185342927, 0.2265256958258096, 0.22348176198713027, 0.2205920200067594, 0.2177756042721619, 0.2151161082276285, 0.21252020139357783, 0.20997136828013935, 0.20748259265675506, 0.20505174733226403, 0.20267667220794475, 0.20040292729065975, 0.19817655398046866, 0.19601690509240535, 0.19391257737696116, 0.19184676763930203, 0.1898209551375982, 0.1878373714297386, 0.18589010106467527, 0.1839760968934111, 0.18209309404900303, 0.1802481930862502, 0.17847974918371978, 0.1767455871872318, 0.17504469388298685, 0.17340072900424425, 0.17178598965860903, 0.17019878777565803, 0.16864059935321923, 0.1671020358071142, 0.16558687495113636, 0.16409890360411775, 0.1626358268687986, 0.16119229411783953, 0.15978087395824522, 0.15839598676644004, 0.1570391528481916, 0.15571551724787727, 0.1544234727771738, 0.15315266640076228, 0.15190256158317195]||[1.0, 1.0, 1.0, 1.0, 0.7814569536423841, 0.7814569536423841, 0.559322033898305, 0.559322033898305, 0.5187165775401069, 0.5268817204301075, 0.391304347826087, 0.362962962962963, 0.362962962962963, 0.4271356783919598, 0.4271356783919598, 0.37623762376237624, 0.4264705882352941, 0.362962962962963, 0.362962962962963, 0.3409090909090909, 0.40225563909774437, 0.36619718309859156, 0.36619718309859156, 0.3617021276595745, 0.30980392156862746, 0.33454545454545453, 0.33454545454545453, 0.34798534798534797, 0.34798534798534797, 0.3490909090909091, 0.3490909090909091, 0.36713286713286714, 0.36713286713286714, 0.36713286713286714, 0.36713286713286714, 0.36395759717314485, 0.36395759717314485, 0.36395759717314485, 0.3890784982935154, 0.3896551724137931, 0.3896551724137931, 0.3890784982935154, 0.3890784982935154, 0.3890784982935154, 0.3890784982935154, 0.3333333333333333, 0.3890784982935154, 0.3890784982935154, 0.3890784982935154, 0.3890784982935154]
[2018-05-26 13:32:49] GA||samples/karate.gml||louvain||48||0.161359||0.262443
[2018-05-26 13:33:35] GA||samples/karate.gml||fast_newman||2||0.259271||1.000000
[2018-05-26 13:33:37] GA||samples/karate.gml||fast_newman||1||0.263688||1.000000
[2018-05-26 13:33:46] GA||samples/karate.gml||louvain||50||0.158541||0.190476
[2018-05-26 13:33:47] GA||samples/karate.gml||fast_newman||3||0.255024||0.577778
[2018-05-26 13:33:49] GA||samples/karate.gml||louvain||49||0.159540||0.271930
[2018-05-26 13:33:51] GA||samples/karate.gml||fast_newman||4||0.250912||0.540404
[2018-05-26 13:33:59] GA||samples/karate.gml||fast_newman||5||0.246930||0.781457
[2018-05-26 13:34:07] GA||samples/karate.gml||fast_newman||6||0.243173||0.567251
[2018-05-26 13:34:56] GA||samples/karate.gml||fast_newman||7||0.239693||0.763158
[2018-05-26 13:34:57] GA||samples/karate.gml||fast_newman||8||0.236498||0.388350
[2018-05-26 13:35:02] GA||samples/karate.gml||fast_newman||9||0.233044||0.311594
[2018-05-26 13:35:05] GA||samples/karate.gml||fast_newman||10||0.230059||0.460094
[2018-05-26 13:35:07] GA||samples/karate.gml||fast_newman||11||0.227035||0.497326
[2018-05-26 13:35:10] GA||samples/karate.gml||fast_newman||12||0.223916||0.391304
[2018-05-26 13:35:20] GA||samples/karate.gml||fast_newman||13||0.221273||0.274336
[2018-05-26 13:35:32] GA||samples/karate.gml||fast_newman||14||0.218592||0.419689
[2018-05-26 13:36:17] GA||samples/karate.gml||fast_newman||16||0.213247||0.326460
[2018-05-26 13:36:19] GA||samples/karate.gml||fast_newman||15||0.215809||0.451327
[2018-05-26 13:36:25] GA||samples/karate.gml||fast_newman||17||0.210955||0.275168
[2018-05-26 13:36:28] GA||samples/karate.gml||fast_newman||18||0.208259||0.389078
[2018-05-26 13:36:29] GA||samples/karate.gml||fast_newman||19||0.206219||0.249097
[2018-05-26 13:36:39] GA||samples/karate.gml||fast_newman||20||0.203835||0.240385
[2018-05-26 13:36:46] GA||samples/karate.gml||fast_newman||21||0.201126||0.376033
[2018-05-26 13:37:02] GA||samples/karate.gml||fast_newman||22||0.199084||0.332103
[2018-05-26 13:37:45] GA||samples/karate.gml||fast_newman||23||0.197478||0.334437
[2018-05-26 13:37:48] GA||samples/karate.gml||fast_newman||24||0.195223||0.296970
[2018-05-26 13:37:50] GA||samples/karate.gml||fast_newman||25||0.192864||0.278646
[2018-05-26 13:38:01] GA||samples/karate.gml||fast_newman||27||0.188925||0.319892
[2018-05-26 13:38:03] GA||samples/karate.gml||fast_newman||26||0.191234||0.310924
[2018-05-26 13:38:08] GA||samples/karate.gml||fast_newman||28||0.187159||0.238095
[2018-05-26 13:38:16] GA||samples/karate.gml||fast_newman||29||0.185540||0.326409
[2018-05-26 13:38:38] GA||samples/karate.gml||fast_newman||30||0.183461||0.255474
[2018-05-26 13:39:18] GA||samples/karate.gml||fast_newman||31||0.181744||0.248521
[2018-05-26 13:39:19] GA||samples/karate.gml||fast_newman||32||0.180184||0.222749
[2018-05-26 13:39:25] GA||samples/karate.gml||fast_newman||33||0.178453||0.283525
[2018-05-26 13:39:36] GA||samples/karate.gml||fast_newman||35||0.175110||0.300836
[2018-05-26 13:39:36] GA||samples/karate.gml||fast_newman||34||0.176658||0.288714
[2018-05-26 13:39:45] GA||samples/karate.gml||fast_newman||37||0.172205||0.278788
[2018-05-26 13:39:47] GA||samples/karate.gml||fast_newman||36||0.173209||0.353659
[2018-05-26 13:40:11] GA||samples/karate.gml||fast_newman||38||0.170590||0.252551
[2018-05-26 13:40:53] GA||samples/karate.gml||fast_newman||39||0.168668||0.289855
[2018-05-26 13:40:57] GA||samples/karate.gml||fast_newman||40||0.167194||0.307359
[2018-05-26 13:41:02] GA||samples/karate.gml||fast_newman||41||0.165855||0.245413
[2018-05-26 13:41:15] GA||samples/karate.gml||fast_newman||42||0.164182||0.262791
[2018-05-26 13:41:19] GA||samples/karate.gml||fast_newman||43||0.163235||0.248276
[2018-05-26 13:41:21] GA||samples/karate.gml||fast_newman||44||0.161523||0.308123
[2018-05-26 13:41:26] GA||samples/karate.gml||fast_newman||45||0.160250||0.268293
[2018-05-26 13:41:52] GA||samples/karate.gml||fast_newman||46||0.158625||0.276712
[2018-05-26 13:42:33] GA||samples/karate.gml||fast_newman||47||0.157429||0.315522
[2018-05-26 13:42:39] GA||samples/karate.gml||fast_newman||48||0.156435||0.262791
[2018-05-26 13:42:46] GA||samples/karate.gml||fast_newman||49||0.155152||0.254945
[2018-05-26 13:42:58] GA||samples/karate.gml||fast_newman||50||0.153457||0.225131
[2018-05-26 13:43:40] GA||samples/dolphins.gml||louvain||2||0.273717||0.757238
[2018-05-26 13:43:42] GA||samples/dolphins.gml||louvain||1||0.276168||0.826667
[2018-05-26 13:44:15] GA||samples/dolphins.gml||louvain||3||0.271313||0.706522
[2018-05-26 13:44:48] GA||samples/dolphins.gml||louvain||4||0.269185||0.718816
[2018-05-26 13:44:52] GA||samples/dolphins.gml||louvain||6||0.264665||0.658996
[2018-05-26 13:44:57] GA||samples/dolphins.gml||louvain||5||0.266839||0.616558
[2018-05-26 13:45:20] GA||samples/dolphins.gml||louvain||7||0.263016||0.512998
